OG	tree	reconciliation_map	flipped_nodes
366	((noD_5_7_6_4|G0_0[node_id=1;species=H0],noD_5_7_6_4|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_7_6_4|G4_4[node_id=4;species=H4],(noD_5_7_6_4|G2_2[node_id=2;species=H2],noD_5_7_6_4|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:8,3:9,4:6,5:2,6:7,7:5,8:1	
367	((noD_5_8_6_4|G0_0[node_id=2;species=H0],noD_5_8_6_4|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_8_6_4|G4_4[node_id=4;species=H4],(noD_5_8_6_4|G2_2[node_id=3;species=H2],noD_5_8_6_4|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:3,3:8,4:6,5:2,6:7,7:5,8:1	
368	((noD_5_7_7_4|G0_0[node_id=1;species=H0],noD_5_7_7_4|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_7_7_4|G4_4[node_id=3;species=H4],(noD_5_7_7_4|G2_2[node_id=2;species=H2],noD_5_7_7_4|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:3,2:8,3:6,4:4,5:2,6:7,7:5,8:1	
369	((noD_5_8_8_3|G0_0[node_id=0;species=H0],(noD_5_8_8_3|G6_7[node_id=1;species=H7],noD_5_8_8_3|G5_7[node_id=2;species=H7])D[node_id=3])S[node_id=6],(noD_5_8_8_3|G2_4[node_id=4;species=H4],(noD_5_8_8_3|G1_1[node_id=5;species=H1],X[node_id=8])S[node_id=7])S[node_id=9])S[node_id=10];	0:3,1:4,2:4,3:4,4:6,5:9,6:2,7:7,8:8,9:5,10:1	
370	((noD_5_6_6_2|G0_0[node_id=0;species=H0],(noD_5_6_6_2|G6_7[node_id=1;species=H7],noD_5_6_6_2|G5_7[node_id=2;species=H7])D[node_id=3])S[node_id=6],(noD_5_6_6_2|G2_4[node_id=5;species=H4],(noD_5_6_6_2|G1_2[node_id=4;species=H2],X[node_id=8])S[node_id=7])S[node_id=9])S[node_id=10];	0:3,1:4,2:4,3:4,4:8,5:6,6:2,7:7,8:9,9:5,10:1	
371	((noD_5_9_3_3|G0_0[node_id=1;species=H0],(noD_5_9_3_3|G4_7[node_id=2;species=H7],noD_5_9_3_3|G3_7[node_id=3;species=H7],noD_5_9_3_3|G5_7[node_id=4;species=H7])D[node_id=5])S[node_id=6],(noD_5_9_3_3|G1_4[node_id=0;species=H4],X[node_id=8])S[node_id=7])S[node_id=9];	0:6,1:3,2:4,3:4,4:4,5:4,6:2,7:5,8:7,9:1	
372	(((noD_5_8_6_1|G5_7[node_id=1;species=H7],noD_5_8_6_1|G6_7[node_id=2;species=H7])D[node_id=3],X[node_id=7])S[node_id=6],(noD_5_8_6_1|G3_4[node_id=4;species=H4],(noD_5_8_6_1|G1_2[node_id=5;species=H2],noD_5_8_6_1|G0_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:4,2:4,3:4,4:6,5:8,6:2,7:3,8:7,9:5,10:1	
373	(((noD_5_10_0_4|G0_0[node_id=1;species=H0],noD_5_10_0_4|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_10_0_4|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_10_0_4|G6_4[node_id=0;species=H4],(noD_5_10_0_4|G4_2[node_id=6;species=H2],noD_5_10_0_4|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:3,2:3,3:3,4:4,5:9,6:8,7:2,8:7,9:5,10:1	
374	(((noD_5_4_10_0|G1_0[node_id=0;species=H0],noD_5_4_10_0|G0_0[node_id=1;species=H0])D[node_id=2],noD_5_4_10_0|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_4_10_0|G6_4[node_id=6;species=H4],(noD_5_4_10_0|G4_2[node_id=3;species=H2],noD_5_4_10_0|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:8,4:4,5:9,6:6,7:2,8:7,9:5,10:1	
375	(((noD_5_8_0_0|G0_0[node_id=0;species=H0],noD_5_8_0_0|G1_0[node_id=1;species=H0])D[node_id=2],noD_5_8_0_0|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_8_0_0|G6_4[node_id=5;species=H4],(noD_5_8_0_0|G4_2[node_id=3;species=H2],noD_5_8_0_0|G3_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:8,4:9,5:6,6:4,7:2,8:7,9:5,10:1	
376	((noD_5_10_10_2|G0_0[node_id=5;species=H0],(noD_5_10_10_2|G8_7[node_id=0;species=H7],noD_5_10_10_2|G7_7[node_id=1;species=H7])D[node_id=2])S[node_id=7],(noD_5_10_10_2|G4_4[node_id=4;species=H4],(noD_5_10_10_2|G2_2[node_id=3;species=H2],noD_5_10_10_2|G1_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:4,2:4,3:8,4:6,5:3,6:9,7:2,8:7,9:5,10:1	
377	((noD_5_3_10_0|G0_0[node_id=6;species=H0],(noD_5_3_10_0|G7_7[node_id=3;species=H7],noD_5_3_10_0|G8_7[node_id=4;species=H7])D[node_id=5])S[node_id=7],(noD_5_3_10_0|G4_4[node_id=0;species=H4],(noD_5_3_10_0|G2_2[node_id=1;species=H2],noD_5_3_10_0|G1_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:8,2:9,3:4,4:4,5:4,6:3,7:2,8:7,9:5,10:1	
378	(((noD_5_5_10_1|G0_0[node_id=0;species=H0],noD_5_5_10_1|G1_0[node_id=1;species=H0])D[node_id=2],noD_5_5_10_1|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_5_10_1|G6_4[node_id=5;species=H4],(noD_5_5_10_1|G4_2[node_id=3;species=H2],noD_5_5_10_1|G3_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:8,4:9,5:6,6:4,7:2,8:7,9:5,10:1	
379	(((noD_5_10_9_1|G0_0[node_id=3;species=H0],noD_5_10_9_1|G1_0[node_id=4;species=H0])D[node_id=5],noD_5_10_9_1|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_10_9_1|G6_4[node_id=1;species=H4],(noD_5_10_9_1|G4_2[node_id=2;species=H2],noD_5_10_9_1|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:6,2:8,3:3,4:3,5:3,6:4,7:2,8:7,9:5,10:1	
380	(((noD_5_10_9_4|G1_0[node_id=4;species=H0],noD_5_10_9_4|G0_0[node_id=5;species=H0])D[node_id=6],noD_5_10_9_4|G9_7[node_id=1;species=H7])S[node_id=7],(noD_5_10_9_4|G6_4[node_id=3;species=H4],(noD_5_10_9_4|G4_2[node_id=0;species=H2],noD_5_10_9_4|G3_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:4,2:9,3:6,4:3,5:3,6:3,7:2,8:7,9:5,10:1	
381	(((noD_5_8_1_0|G1_0[node_id=0;species=H0],X[node_id=6])S[node_id=5],(noD_5_8_1_0|G0_0[node_id=1;species=H0],noD_5_8_1_0|G9_7[node_id=2;species=H7])S[node_id=3])D[node_id=4],(noD_5_8_1_0|G6_4[node_id=7;species=H4],(noD_5_8_1_0|G4_2[node_id=9;species=H2],noD_5_8_1_0|G3_1[node_id=8;species=H1])S[node_id=10])S[node_id=11])S[node_id=12];	0:3,1:3,2:4,3:2,4:2,5:2,6:4,7:6,8:9,9:8,10:7,11:5,12:1	
382	(((noD_5_3_2_0|G0_0[node_id=4;species=H0],noD_5_3_2_0|G1_0[node_id=5;species=H0])D[node_id=6],noD_5_3_2_0|G9_7[node_id=2;species=H7])S[node_id=7],(noD_5_3_2_0|G6_4[node_id=1;species=H4],(noD_5_3_2_0|G4_2[node_id=3;species=H2],noD_5_3_2_0|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:6,2:4,3:8,4:3,5:3,6:3,7:2,8:7,9:5,10:1	
383	(((noD_5_2_4_0|G0_0[node_id=1;species=H0],noD_5_2_4_0|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_2_4_0|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_2_4_0|G6_4[node_id=5;species=H4],(noD_5_2_4_0|G4_2[node_id=0;species=H2],noD_5_2_4_0|G3_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:3,2:3,3:3,4:9,5:6,6:4,7:2,8:7,9:5,10:1	
384	(((noD_5_2_5_0|G0_0[node_id=3;species=H0],noD_5_2_5_0|G1_0[node_id=4;species=H0])D[node_id=5],noD_5_2_5_0|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_2_5_0|G6_4[node_id=2;species=H4],(noD_5_2_5_0|G4_2[node_id=1;species=H2],noD_5_2_5_0|G3_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:8,2:6,3:3,4:3,5:3,6:9,7:2,8:7,9:5,10:1	
385	(((noD_5_6_0_2|G0_0[node_id=2;species=H0],noD_5_6_0_2|G1_0[node_id=3;species=H0])D[node_id=4],noD_5_6_0_2|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_6_0_2|G6_4[node_id=1;species=H4],(noD_5_6_0_2|G4_2[node_id=0;species=H2],noD_5_6_0_2|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:6,2:3,3:3,4:3,5:9,6:4,7:2,8:7,9:5,10:1	
386	(((noD_5_9_3_0|G1_0[node_id=3;species=H0],noD_5_9_3_0|G0_0[node_id=4;species=H0])D[node_id=5],noD_5_9_3_0|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_9_3_0|G6_4[node_id=2;species=H4],(noD_5_9_3_0|G4_2[node_id=6;species=H2],noD_5_9_3_0|G3_1[node_id=1;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:9,2:6,3:3,4:3,5:3,6:8,7:2,8:7,9:5,10:1	
387	(((noD_5_9_0_3|G0_0[node_id=4;species=H0],noD_5_9_0_3|G1_0[node_id=5;species=H0])D[node_id=6],noD_5_9_0_3|G9_7[node_id=1;species=H7])S[node_id=7],(noD_5_9_0_3|G6_4[node_id=3;species=H4],(noD_5_9_0_3|G4_2[node_id=0;species=H2],noD_5_9_0_3|G3_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:4,2:9,3:6,4:3,5:3,6:3,7:2,8:7,9:5,10:1	
388	(((noD_5_6_4_0|G0_0[node_id=1;species=H0],noD_5_6_4_0|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_6_4_0|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_6_4_0|G6_4[node_id=6;species=H4],(noD_5_6_4_0|G4_2[node_id=4;species=H2],noD_5_6_4_0|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:3,2:3,3:3,4:8,5:9,6:6,7:2,8:7,9:5,10:1	
389	(((noD_5_8_0_4|G0_0[node_id=4;species=H0],noD_5_8_0_4|G1_0[node_id=5;species=H0])D[node_id=6],noD_5_8_0_4|G9_7[node_id=2;species=H7])S[node_id=7],(noD_5_8_0_4|G6_4[node_id=3;species=H4],(noD_5_8_0_4|G4_2[node_id=1;species=H2],noD_5_8_0_4|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:8,2:4,3:6,4:3,5:3,6:3,7:2,8:7,9:5,10:1	
390	(((noD_5_5_7_0|G1_0[node_id=0;species=H0],noD_5_5_7_0|G0_0[node_id=1;species=H0])D[node_id=2],noD_5_5_7_0|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_5_7_0|G6_4[node_id=5;species=H4],(noD_5_5_7_0|G4_2[node_id=3;species=H2],noD_5_5_7_0|G3_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:8,4:4,5:6,6:9,7:2,8:7,9:5,10:1	
391	((noD_5_9_10_1|G0_0[node_id=6;species=H0],noD_5_9_10_1|G9_7[node_id=5;species=H7])S[node_id=7],((noD_5_9_10_1|G5_4[node_id=0;species=H4],noD_5_9_10_1|G4_4[node_id=1;species=H4])D[node_id=2],(noD_5_9_10_1|G2_2[node_id=4;species=H2],noD_5_9_10_1|G1_1[node_id=3;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:6,2:6,3:9,4:8,5:4,6:3,7:2,8:7,9:5,10:1	
392	((noD_5_6_10_3|G0_0[node_id=5;species=H0],noD_5_6_10_3|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_6_10_3|G6_4[node_id=0;species=H4],(noD_5_6_10_3|G4_2[node_id=6;species=H2],(noD_5_6_10_3|G1_1[node_id=1;species=H1],noD_5_6_10_3|G2_1[node_id=2;species=H1])D[node_id=3])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:9,2:9,3:9,4:4,5:3,6:8,7:2,8:7,9:5,10:1	
393	((noD_5_10_9_2|G0_0[node_id=1;species=H0],(noD_5_10_9_2|G8_7[node_id=2;species=H7],noD_5_10_9_2|G7_7[node_id=3;species=H7])D[node_id=4])S[node_id=7],(noD_5_10_9_2|G4_4[node_id=5;species=H4],(noD_5_10_9_2|G2_2[node_id=0;species=H2],noD_5_10_9_2|G1_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:3,2:4,3:4,4:4,5:6,6:9,7:2,8:7,9:5,10:1	
394	((noD_5_5_0_1|G0_0[node_id=6;species=H0],noD_5_5_0_1|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_5_0_1|G6_4[node_id=1;species=H4],((noD_5_5_0_1|G2_2[node_id=3;species=H2],noD_5_5_0_1|G3_2[node_id=4;species=H2])D[node_id=5],noD_5_5_0_1|G1_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:6,2:9,3:8,4:8,5:8,6:3,7:2,8:7,9:5,10:1	
395	((noD_5_4_1_0|G0_0[node_id=4;species=H0],(noD_5_4_1_0|G8_7[node_id=0;species=H7],noD_5_4_1_0|G7_7[node_id=1;species=H7])D[node_id=2])S[node_id=7],(noD_5_4_1_0|G4_4[node_id=3;species=H4],(noD_5_4_1_0|G2_2[node_id=6;species=H2],noD_5_4_1_0|G1_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:4,2:4,3:6,4:3,5:9,6:8,7:2,8:7,9:5,10:1	
396	((noD_5_7_0_1|G0_0[node_id=5;species=H0],noD_5_7_0_1|G9_7[node_id=6;species=H7])S[node_id=7],((noD_5_7_0_1|G4_4[node_id=1;species=H4],noD_5_7_0_1|G5_4[node_id=2;species=H4])D[node_id=3],(noD_5_7_0_1|G2_2[node_id=4;species=H2],noD_5_7_0_1|G1_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:6,2:6,3:6,4:8,5:3,6:4,7:2,8:7,9:5,10:1	
397	((noD_5_1_8_0|G0_0[node_id=6;species=H0],(noD_5_1_8_0|G7_7[node_id=3;species=H7],noD_5_1_8_0|G8_7[node_id=4;species=H7])D[node_id=5])S[node_id=7],(noD_5_1_8_0|G4_4[node_id=1;species=H4],(noD_5_1_8_0|G2_2[node_id=2;species=H2],noD_5_1_8_0|G1_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:6,2:8,3:4,4:4,5:4,6:3,7:2,8:7,9:5,10:1	
398	((noD_5_8_4_0|G0_0[node_id=4;species=H0],noD_5_8_4_0|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_8_4_0|G6_4[node_id=3;species=H4],((noD_5_8_4_0|G2_2[node_id=0;species=H2],noD_5_8_4_0|G3_2[node_id=1;species=H2])D[node_id=2],noD_5_8_4_0|G1_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:8,2:8,3:6,4:3,5:9,6:4,7:2,8:7,9:5,10:1	
399	((noD_5_8_9_0|G0_0[node_id=5;species=H0],noD_5_8_9_0|G9_7[node_id=3;species=H7])S[node_id=7],(noD_5_8_9_0|G6_4[node_id=6;species=H4],((noD_5_8_9_0|G2_2[node_id=0;species=H2],noD_5_8_9_0|G3_2[node_id=1;species=H2])D[node_id=2],noD_5_8_9_0|G1_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:8,2:8,3:4,4:9,5:3,6:6,7:2,8:7,9:5,10:1	
400	((noD_5_3_0_3|G0_0[node_id=6;species=H0],noD_5_3_0_3|G9_7[node_id=0;species=H7])S[node_id=7],((noD_5_3_0_3|G5_4[node_id=3;species=H4],noD_5_3_0_3|G4_4[node_id=4;species=H4])D[node_id=5],(noD_5_3_0_3|G2_2[node_id=1;species=H2],noD_5_3_0_3|G1_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:8,2:9,3:6,4:6,5:6,6:3,7:2,8:7,9:5,10:1	
401	((noD_5_3_7_0|G0_0[node_id=5;species=H0],noD_5_3_7_0|G9_7[node_id=1;species=H7])S[node_id=7],((noD_5_3_7_0|G4_4[node_id=2;species=H4],noD_5_3_7_0|G5_4[node_id=3;species=H4])D[node_id=4],(noD_5_3_7_0|G2_2[node_id=0;species=H2],noD_5_3_7_0|G1_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:4,2:6,3:6,4:6,5:3,6:9,7:2,8:7,9:5,10:1	
402	((noD_5_6_0_3|G0_0[node_id=5;species=H0],(noD_5_6_0_3|G8_7[node_id=0;species=H7],noD_5_6_0_3|G7_7[node_id=1;species=H7])D[node_id=2])S[node_id=7],(noD_5_6_0_3|G4_4[node_id=3;species=H4],(noD_5_6_0_3|G2_2[node_id=4;species=H2],noD_5_6_0_3|G1_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:4,2:4,3:6,4:8,5:3,6:9,7:2,8:7,9:5,10:1	
403	(((noD_5_4_10_2|G6_7[node_id=1;species=H7],noD_5_4_10_2|G5_7[node_id=2;species=H7],noD_5_4_10_2|G7_7[node_id=3;species=H7])D[node_id=4],X[node_id=8])S[node_id=7],(noD_5_4_10_2|G3_4[node_id=6;species=H4],(noD_5_4_10_2|G1_2[node_id=0;species=H2],noD_5_4_10_2|G0_1[node_id=5;species=H1])S[node_id=9])S[node_id=10])S[node_id=11];	0:8,1:4,2:4,3:4,4:4,5:9,6:6,7:2,8:3,9:7,10:5,11:1	
404	(((noD_5_10_5_2|G7_7[node_id=0;species=H7],noD_5_10_5_2|G6_7[node_id=1;species=H7],noD_5_10_5_2|G5_7[node_id=2;species=H7])D[node_id=3],X[node_id=8])S[node_id=7],(noD_5_10_5_2|G3_4[node_id=5;species=H4],(noD_5_10_5_2|G1_2[node_id=6;species=H2],noD_5_10_5_2|G0_1[node_id=4;species=H1])S[node_id=9])S[node_id=10])S[node_id=11];	0:4,1:4,2:4,3:4,4:9,5:6,6:8,7:2,8:3,9:7,10:5,11:1	
405	(((noD_5_4_7_4|G0_0[node_id=0;species=H0],noD_5_4_7_3|G0_0[node_id=1;species=H0])D[node_id=2],noD_5_4_7_4|G1_7[node_id=5;species=H7])S[node_id=6],(noD_5_4_7_3|G4_4[node_id=4;species=H4],(noD_5_4_7_3|G1_1[node_id=3;species=H1],X[node_id=8])S[node_id=7])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:9,4:6,5:4,6:2,7:7,8:8,9:5,10:1	
406	(((noD_5_3_1_2|G1_0[node_id=1;species=H0],noD_5_3_1_2|G0_0[node_id=2;species=H0])D[node_id=3],noD_5_3_1_2|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_3_1_2|G6_4[node_id=6;species=H4],(noD_5_3_1_2|G4_2[node_id=0;species=H2],noD_5_3_1_2|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:3,2:3,3:3,4:4,5:9,6:6,7:2,8:7,9:5,10:1	
407	(((noD_5_7_4_1|G1_0[node_id=1;species=H0],noD_5_7_4_1|G0_0[node_id=2;species=H0])D[node_id=3],noD_5_7_4_1|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_7_4_1|G6_4[node_id=0;species=H4],(noD_5_7_4_1|G4_2[node_id=6;species=H2],noD_5_7_4_1|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:3,2:3,3:3,4:4,5:9,6:8,7:2,8:7,9:5,10:1	
408	(((noD_5_6_8_1|G1_0[node_id=2;species=H0],X[node_id=8])S[node_id=7],(noD_5_6_8_1|G0_0[node_id=3;species=H0],noD_5_6_8_1|G9_7[node_id=4;species=H7])S[node_id=5])D[node_id=6],(noD_5_6_8_1|G6_4[node_id=9;species=H4],(noD_5_6_8_1|G4_2[node_id=0;species=H2],noD_5_6_8_1|G3_1[node_id=1;species=H1])S[node_id=10])S[node_id=11])S[node_id=12];	0:8,1:9,2:3,3:3,4:4,5:2,6:2,7:2,8:4,9:6,10:7,11:5,12:1	
409	(((noD_5_6_2_2|G0_0[node_id=2;species=H0],noD_5_6_2_2|G1_0[node_id=3;species=H0])D[node_id=4],noD_5_6_2_2|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_6_2_2|G6_4[node_id=1;species=H4],(noD_5_6_2_2|G4_2[node_id=0;species=H2],noD_5_6_2_2|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:6,2:3,3:3,4:3,5:9,6:4,7:2,8:7,9:5,10:1	
410	(((noD_5_9_5_2|G0_0[node_id=1;species=H0],noD_5_9_5_2|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_9_5_2|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_9_5_2|G6_4[node_id=5;species=H4],(noD_5_9_5_2|G4_2[node_id=6;species=H2],noD_5_9_5_2|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:3,2:3,3:3,4:4,5:6,6:8,7:2,8:7,9:5,10:1	
411	(((noD_5_3_9_3|G1_0[node_id=3;species=H0],noD_5_3_9_3|G0_0[node_id=4;species=H0])D[node_id=5],noD_5_3_9_3|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_3_9_3|G6_4[node_id=6;species=H4],(noD_5_3_9_3|G4_2[node_id=2;species=H2],noD_5_3_9_3|G3_1[node_id=1;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:9,2:8,3:3,4:3,5:3,6:6,7:2,8:7,9:5,10:1	
412	(((noD_5_7_3_4|G1_0[node_id=1;species=H0],noD_5_7_3_4|G0_0[node_id=2;species=H0])D[node_id=3],noD_5_7_3_4|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_7_3_4|G6_4[node_id=5;species=H4],(noD_5_7_3_4|G4_2[node_id=4;species=H2],noD_5_7_3_4|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:3,2:3,3:3,4:8,5:6,6:4,7:2,8:7,9:5,10:1	
413	(((noD_5_5_6_3|G1_0[node_id=2;species=H0],noD_5_5_6_3|G0_0[node_id=3;species=H0])D[node_id=4],noD_5_5_6_3|G9_7[node_id=0;species=H7])S[node_id=7],(noD_5_5_6_3|G6_4[node_id=5;species=H4],(noD_5_5_6_3|G4_2[node_id=1;species=H2],noD_5_5_6_3|G3_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:8,2:3,3:3,4:3,5:6,6:9,7:2,8:7,9:5,10:1	
414	(((noD_5_8_4_4|G0_0[node_id=2;species=H0],noD_5_8_4_4|G1_0[node_id=3;species=H0])D[node_id=4],noD_5_8_4_4|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_8_4_4|G6_4[node_id=5;species=H4],(noD_5_8_4_4|G4_2[node_id=0;species=H2],noD_5_8_4_4|G3_1[node_id=1;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:9,2:3,3:3,4:3,5:6,6:4,7:2,8:7,9:5,10:1	
415	((noD_5_5_1_1|G0_0[node_id=7;species=H0],noD_5_5_1_1|G9_7[node_id=6;species=H7])S[node_id=8],(((noD_5_5_1_1|G5_2[node_id=3;species=H2],noD_5_5_1_1|G2_2[node_id=4;species=H2])D[node_id=5],(noD_5_5_1_1|G1_1[node_id=0;species=H1],noD_5_5_1_1|G4_1[node_id=1;species=H1])D[node_id=2])S[node_id=9],X[node_id=11])S[node_id=10])S[node_id=12];	0:9,1:9,2:9,3:8,4:8,5:8,6:4,7:3,8:2,9:7,10:5,11:6,12:1	
416	((noD_5_1_5_1|G0_0[node_id=5;species=H0],noD_5_1_5_1|G9_7[node_id=6;species=H7])S[node_id=7],(noD_5_1_5_1|G6_4[node_id=0;species=H4],((noD_5_1_5_1|G3_2[node_id=2;species=H2],noD_5_1_5_1|G2_2[node_id=3;species=H2])D[node_id=4],noD_5_1_5_1|G1_1[node_id=1;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:9,2:8,3:8,4:8,5:3,6:4,7:2,8:7,9:5,10:1	
417	((noD_5_1_1_3|G0_0[node_id=1;species=H0],noD_5_1_1_3|G9_7[node_id=2;species=H7])S[node_id=7],((noD_5_1_1_3|G5_4[node_id=4;species=H4],noD_5_1_1_3|G4_4[node_id=5;species=H4])D[node_id=6],(noD_5_1_1_3|G2_2[node_id=3;species=H2],noD_5_1_1_3|G1_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:3,2:4,3:8,4:6,5:6,6:6,7:2,8:7,9:5,10:1	
418	((noD_5_3_1_1|G0_0[node_id=5;species=H0],(noD_5_3_1_1|G7_7[node_id=2;species=H7],noD_5_3_1_1|G8_7[node_id=3;species=H7])D[node_id=4])S[node_id=7],(noD_5_3_1_1|G4_4[node_id=0;species=H4],(noD_5_3_1_1|G2_2[node_id=6;species=H2],noD_5_3_1_1|G1_1[node_id=1;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:9,2:4,3:4,4:4,5:3,6:8,7:2,8:7,9:5,10:1	
419	((noD_5_1_1_4|G0_0[node_id=0;species=H0],noD_5_1_1_4|G9_7[node_id=1;species=H7])S[node_id=7],((noD_5_1_1_4|G4_4[node_id=3;species=H4],noD_5_1_1_4|G5_4[node_id=4;species=H4])D[node_id=5],(noD_5_1_1_4|G2_2[node_id=6;species=H2],noD_5_1_1_4|G1_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:4,2:9,3:6,4:6,5:6,6:8,7:2,8:7,9:5,10:1	
420	((noD_5_7_1_4|G0_0[node_id=6;species=H0],noD_5_7_1_4|G9_7[node_id=4;species=H7])S[node_id=7],(noD_5_7_1_4|G6_4[node_id=3;species=H4],(noD_5_7_1_4|G4_2[node_id=5;species=H2],(noD_5_7_1_4|G1_1[node_id=0;species=H1],noD_5_7_1_4|G2_1[node_id=1;species=H1])D[node_id=2])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:9,2:9,3:6,4:4,5:8,6:3,7:2,8:7,9:5,10:1	
